DATE,PCAGDPMXA646NWDB
1960-01-01,345.230540798612
1961-01-01,363.393270895902
1962-01-01,378.153495389687
1963-01-01,409.045570064212
1964-01-01,469.476136876329
1965-01-01,494.97026133002
1966-01-01,534.273631491705
1967-01-01,565.633408898776
1968-01-01,606.211132724704
1969-01-01,650.31172716668
1970-01-01,689.79492874498
1971-01-01,738.558476290558
1972-01-01,826.477350205369
1973-01-01,981.458982808666
1974-01-01,1242.09004283348
1975-01-01,1476.31321709503
1976-01-01,1453.67067179741
1977-01-01,1301.32462245746
1978-01-01,1589.27364023608
1979-01-01,2034.98866867899
1980-01-01,3027.37527353192
1981-01-01,3803.03092550358
1982-01-01,2597.98290287556
1983-01-01,2147.71955854609
1984-01-01,2478.21083598733
1985-01-01,2569.23971350142
1986-01-01,1733.91299341331
1987-01-01,1862.88620439437
1988-01-01,2247.98138571693
1989-01-01,2687.91484499786
1990-01-01,3112.26859475697
1991-01-01,3661.94796500841
1992-01-01,4170.62338257237
1993-01-01,5650.02628596643
1994-01-01,5854.41811722684
1995-01-01,3928.22371141004
1996-01-01,4412.11629751815
1997-01-01,5289.16765276589
1998-01-01,5481.18195394699
1999-01-01,6157.19304371027
2000-01-01,7157.81449985734
2001-01-01,7544.56872335784
2002-01-01,7593.1373448964
2003-01-01,7075.36964299974
2004-01-01,7484.486398707
2005-01-01,8277.67156384567
2006-01-01,9068.29421839425
2007-01-01,9642.68051672231
2008-01-01,10016.5712139986
2009-01-01,8002.97217765844
2010-01-01,9271.39839576997
2011-01-01,10203.4212952716
2012-01-01,10241.727828043
2013-01-01,10725.1835873796
2014-01-01,10928.9160089988
2015-01-01,9616.64555810607
2016-01-01,8744.51555912786
2017-01-01,9287.84958732302
2018-01-01,9686.98492655586
2019-01-01,9950.45008048459
2020-01-01,8329.27131263927
